,UMAP_1,UMAP_2,cluster,dbscan_cluster
1409,-0.8989094,6.422903,20,20
1410,13.581988,9.047294,6,6
1411,9.115907,-0.15837786,15,15
1412,13.978646,-2.1571624,1,1
1413,1.022934,0.7865547,14,14
1414,6.304059,-14.2770815,26,26
1415,-10.176083,6.9163346,5,5
1416,13.027418,16.450708,12,12
1417,-4.9810505,4.152947,13,13
1418,18.782421,1.1744757,17,17
1419,-4.496489,15.439091,0,0
1420,16.074581,22.361275,29,29
1421,14.524595,12.8849745,7,7
1422,14.462642,12.843632,7,7
1423,1.8019071,-1.2110097,14,14
1424,1.6446561,-8.869461,3,3
1425,0.10296741,-1.2849238,14,14
1426,8.411339,10.903912,23,23
1427,10.376167,-9.088673,9,9
1428,12.496957,16.190071,12,12
1429,1.3818134,-1.4708467,14,14
1430,-9.619307,6.86014,5,5
1431,-9.579506,6.8373413,5,5
1432,4.897196,-10.617577,24,24
1433,2.7174096,13.047483,30,30
1434,20.459053,9.652548,21,21
1435,-9.879256,6.887559,5,5
1436,17.581593,-4.304758,1,1
1437,0.41175792,-5.037895,31,31
1438,-1.971062,1.0688852,8,8
1439,-1.4933155,14.614076,0,0
1440,-3.3397334,5.6026173,13,13
1441,-3.3462334,5.5927052,13,13
1442,-1.3602769,18.883701,2,2
1443,16.51378,2.2471483,17,17
1444,10.911597,-4.5271416,15,15
1445,4.8811617,-11.693439,24,24
1446,4.8922343,-11.686584,24,24
1447,4.874113,-11.71554,24,24
1448,10.798243,-0.23074396,1,1
1449,-0.876311,-7.149686,27,27
1450,-3.019172,20.222275,2,2
1451,22.386457,11.659313,21,21
1452,17.269835,21.857534,29,29
1453,0.62250775,2.576775,8,8
1454,-4.4525023,15.17104,0,0
1455,12.245711,3.3144517,18,18
1456,12.2491255,3.3128934,18,18
1457,12.244302,3.3151264,18,18
1458,9.716328,11.8090725,23,23
1459,-6.6148887,10.371482,19,19
1460,-1.0869827,10.97698,19,19
1461,-4.4813504,16.246016,0,0
1462,10.399785,-0.140807,1,1
1463,14.458757,12.843443,7,7
1464,-1.8389574,10.743731,19,19
1465,-5.7656693,-5.2640667,11,11
1466,2.4975367,7.7296047,20,20
1467,8.090557,-2.2738187,15,15
1468,-10.113211,6.9121385,5,5
1469,11.722061,-9.369378,9,9
1470,0.49534625,-10.086089,4,4
1471,0.497117,-10.084866,4,4
1472,0.49687862,-10.084952,4,4
1473,0.49569714,-10.085634,4,4
1474,0.49678358,-10.0849495,4,4
1475,7.580969,9.672108,23,23
1476,8.542,-3.0984776,15,15
1477,4.2427354,-8.517794,24,24
1478,14.545891,6.672445,6,6
1479,14.287112,6.4656816,6,6
1480,14.30245,6.480975,6,6
1481,21.402882,-2.1020293,17,17
